MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandWidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandWidth;AbsError(read);RelError(read)
RAM;64;int;64;18;clock_gettime;0.000000;0.000000;546.541418;0.000000;17.100000%;0.000000;0.000000;597.014925;0.000000;7.200000%
RAM;64;int;64;19;clock_gettime;0.000000;0.000000;546.541418;0.000000;24.574468%;0.000000;0.000000;597.014925;0.000000;12.842105%
RAM;64;int;64;20;clock_gettime;0.000000;0.000000;546.541418;0.000000;23.263158%;0.000000;0.000000;597.014925;0.000000;9.387755%
RAM;262144;int;262144;1;clock_gettime;0.000379;0.000366;715.306142;0.000012;3.294759%;0.000292;0.000302;869.052951;0.000010;3.364802%
RAM;262144;int;262144;2;clock_gettime;0.000381;0.000366;715.306142;0.000014;3.746861%;0.000291;0.000302;869.052951;0.000010;3.571360%
RAM;262144;int;262144;3;clock_gettime;0.000308;0.000366;715.306142;0.000058;18.847467%;0.000315;0.000302;869.052951;0.000014;4.304323%
RAM;262144;int;262144;4;clock_gettime;0.000339;0.000366;715.306142;0.000028;8.232369%;0.000291;0.000302;869.052951;0.000010;3.493538%
RAM;262144;int;262144;5;clock_gettime;0.000309;0.000366;715.306142;0.000057;18.531496%;0.000292;0.000302;869.052951;0.000010;3.430371%
RAM;262144;int;262144;6;clock_gettime;0.000307;0.000366;715.306142;0.000060;19.415189%;0.000296;0.000302;869.052951;0.000006;2.042002%
RAM;262144;int;262144;7;clock_gettime;0.000306;0.000366;715.306142;0.000060;19.653018%;0.000294;0.000302;869.052951;0.000008;2.584060%
RAM;262144;int;262144;8;clock_gettime;0.000308;0.000366;715.306142;0.000059;19.021545%;0.000296;0.000302;869.052951;0.000006;1.904110%
RAM;262144;int;262144;9;clock_gettime;0.000304;0.000366;715.306142;0.000062;20.428393%;0.000292;0.000302;869.052951;0.000009;3.188357%
RAM;262144;int;262144;10;clock_gettime;0.000312;0.000366;715.306142;0.000055;17.529095%;0.000292;0.000302;869.052951;0.000010;3.386413%
RAM;262144;int;262144;11;clock_gettime;0.000306;0.000366;715.306142;0.000061;19.894542%;0.000318;0.000302;869.052951;0.000016;5.111987%
RAM;262144;int;262144;12;clock_gettime;0.000306;0.000366;715.306142;0.000061;19.879247%;0.000321;0.000302;869.052951;0.000019;6.045345%
RAM;262144;int;262144;13;clock_gettime;0.000341;0.000366;715.306142;0.000025;7.366721%;0.000293;0.000302;869.052951;0.000009;3.022364%
RAM;262144;int;262144;14;clock_gettime;0.000365;0.000366;715.306142;0.000001;0.365899%;0.000298;0.000302;869.052951;0.000003;1.133668%
RAM;262144;int;262144;15;clock_gettime;0.001398;0.000366;715.306142;0.001031;73.779752%;0.000504;0.000302;869.052951;0.000202;40.108667%
RAM;262144;int;262144;16;clock_gettime;0.000309;0.000366;715.306142;0.000058;18.663138%;0.000319;0.000302;869.052951;0.000018;5.554957%
RAM;262144;int;262144;17;clock_gettime;0.000306;0.000366;715.306142;0.000061;19.915727%;0.000316;0.000302;869.052951;0.000014;4.456484%
RAM;262144;int;262144;18;clock_gettime;0.000244;0.000366;715.306142;0.000122;50.042190%;0.000240;0.000302;869.052951;0.000062;25.860914%
RAM;262144;int;262144;19;clock_gettime;0.000246;0.000366;715.306142;0.000120;48.891898%;0.000236;0.000302;869.052951;0.000066;27.990131%
RAM;262144;int;262144;20;clock_gettime;0.000256;0.000366;715.306142;0.000110;43.092885%;0.000238;0.000302;869.052951;0.000064;26.926472%
RAM;1048576;int;1048576;1;clock_gettime;0.001294;0.001160;904.260188;0.000135;10.405791%;0.000867;0.001370;765.372489;0.000503;58.037834%
RAM;1048576;int;1048576;2;clock_gettime;0.001070;0.001160;904.260188;0.000090;8.416672%;0.000798;0.001370;765.372489;0.000572;71.700917%
RAM;1048576;int;1048576;3;clock_gettime;0.002770;0.001160;904.260188;0.001611;58.138981%;0.012110;0.001370;765.372489;0.010740;88.686501%
RAM;1048576;int;1048576;4;clock_gettime;0.001019;0.001160;904.260188;0.000140;13.775287%;0.000812;0.001370;765.372489;0.000558;68.659216%
RAM;1048576;int;1048576;5;clock_gettime;0.001019;0.001160;904.260188;0.000140;13.748613%;0.000796;0.001370;765.372489;0.000574;72.008324%
RAM;1048576;int;1048576;6;clock_gettime;0.001017;0.001160;904.260188;0.000142;14.000784%;0.000810;0.001370;765.372489;0.000560;69.137916%
RAM;1048576;int;1048576;7;clock_gettime;0.001047;0.001160;904.260188;0.000113;10.787857%;0.000780;0.001370;765.372489;0.000590;75.701545%
RAM;1048576;int;1048576;8;clock_gettime;0.001035;0.001160;904.260188;0.000125;12.048709%;0.000790;0.001370;765.372489;0.000580;73.473237%
RAM;1048576;int;1048576;9;clock_gettime;0.001605;0.001160;904.260188;0.000445;27.739537%;0.000842;0.001370;765.372489;0.000528;62.712206%
RAM;1048576;int;1048576;10;clock_gettime;0.001075;0.001160;904.260188;0.000085;7.912610%;0.000811;0.001370;765.372489;0.000559;69.000838%
RAM;1048576;int;1048576;11;clock_gettime;0.001026;0.001160;904.260188;0.000134;13.013839%;0.000800;0.001370;765.372489;0.000570;71.263695%
RAM;1048576;int;1048576;12;clock_gettime;0.001029;0.001160;904.260188;0.000131;12.736301%;0.000797;0.001370;765.372489;0.000573;71.999038%
RAM;1048576;int;1048576;13;clock_gettime;0.001007;0.001160;904.260188;0.000153;15.177719%;0.000801;0.001370;765.372489;0.000569;71.047946%
RAM;1048576;int;1048576;14;clock_gettime;0.001046;0.001160;904.260188;0.000113;10.844408%;0.000799;0.001370;765.372489;0.000571;71.490935%
RAM;1048576;int;1048576;15;clock_gettime;0.001007;0.001160;904.260188;0.000152;15.101349%;0.000801;0.001370;765.372489;0.000569;71.075286%
RAM;1048576;int;1048576;16;clock_gettime;0.001019;0.001160;904.260188;0.000140;13.774729%;0.000811;0.001370;765.372489;0.000559;68.888545%
RAM;1048576;int;1048576;17;clock_gettime;0.001043;0.001160;904.260188;0.000117;11.186849%;0.000796;0.001370;765.372489;0.000574;72.186459%
RAM;1048576;int;1048576;18;clock_gettime;0.001009;0.001160;904.260188;0.000150;14.910185%;0.000799;0.001370;765.372489;0.000571;71.556432%
RAM;1048576;int;1048576;19;clock_gettime;0.001024;0.001160;904.260188;0.000136;13.258887%;0.000800;0.001370;765.372489;0.000570;71.263695%
RAM;1048576;int;1048576;20;clock_gettime;0.001031;0.001160;904.260188;0.000129;12.463395%;0.000783;0.001370;765.372489;0.000588;75.078688%
RAM;6291456;int;6291456;1;clock_gettime;0.006686;0.005886;1068.935598;0.000800;11.969865%;0.004943;0.004313;1458.574294;0.000630;12.738763%
RAM;6291456;int;6291456;2;clock_gettime;0.006624;0.005886;1068.935598;0.000738;11.143058%;0.004599;0.004313;1458.574294;0.000285;6.205407%
RAM;6291456;int;6291456;3;clock_gettime;0.005677;0.005886;1068.935598;0.000209;3.672797%;0.004191;0.004313;1458.574294;0.000122;2.914055%
RAM;6291456;int;6291456;4;clock_gettime;0.005593;0.005886;1068.935598;0.000293;5.230530%;0.004190;0.004313;1458.574294;0.000123;2.941342%
RAM;6291456;int;6291456;5;clock_gettime;0.006089;0.005886;1068.935598;0.000203;3.331377%;0.004514;0.004313;1458.574294;0.000201;4.453395%
RAM;6291456;int;6291456;6;clock_gettime;0.005938;0.005886;1068.935598;0.000053;0.888270%;0.004412;0.004313;1458.574294;0.000099;2.237757%
RAM;6291456;int;6291456;7;clock_gettime;0.005701;0.005886;1068.935598;0.000184;3.234906%;0.004216;0.004313;1458.574294;0.000098;2.315389%
RAM;6291456;int;6291456;8;clock_gettime;0.005779;0.005886;1068.935598;0.000106;1.840701%;0.004190;0.004313;1458.574294;0.000124;2.955151%
RAM;6291456;int;6291456;9;clock_gettime;0.005756;0.005886;1068.935598;0.000130;2.256301%;0.004178;0.004313;1458.574294;0.000135;3.238133%
RAM;6291456;int;6291456;10;clock_gettime;0.005739;0.005886;1068.935598;0.000147;2.564073%;0.004141;0.004313;1458.574294;0.000173;4.172740%
RAM;6291456;int;6291456;11;clock_gettime;0.005476;0.005886;1068.935598;0.000410;7.486134%;0.004149;0.004313;1458.574294;0.000165;3.974065%
RAM;6291456;int;6291456;12;clock_gettime;0.005714;0.005886;1068.935598;0.000172;3.013117%;0.004131;0.004313;1458.574294;0.000183;4.428019%
RAM;6291456;int;6291456;13;clock_gettime;0.005596;0.005886;1068.935598;0.000290;5.173573%;0.004100;0.004313;1458.574294;0.000214;5.209577%
